baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,__aggregate__,10114825,6314471,7136397,731587685.5,20523445348.5,256925403,2337835762.5,2019328,26880000,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 821926 (13.0165%); compression worse by 19791857663 (2705.33%); decompression worse by 2080910359.5 (809.928%); memory worse by 24860672 (1231.14%)
lz4,lz4,balanced,development,__aggregate__,10114825,8886079,7136397,155127589.5,20523445348.5,151108605.5,2337835762.5,9998336,26880000,true,false,false,false,1,confirmed,true,true,1,corpus,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 20368317759 (13130%); decompression worse by 2186727157 (1447.12%); memory worse by 16881664 (168.845%)
xz-9e,xz-9e,balanced,development,__aggregate__,10114825,4606124,7136397,8967228185.5,20523445348.5,629034354,2337835762.5,145930240,26880000,false,false,false,true,1,confirmed,true,true,1,corpus,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 2530273 (54.9328%); compression worse by 11556217163 (128.872%); decompression worse by 1708801408.5 (271.655%)
zstd-default,zstd-default,balanced,development,__aggregate__,10114825,6269278,7136397,338152708.5,20523445348.5,158149897,2337835762.5,19261440,26880000,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 867119 (13.8312%); compression worse by 20185292640 (5969.28%); decompression worse by 2179685865.5 (1378.24%); memory worse by 7618560 (39.5534%)
