experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,dataset_id,row_scope,original_bytes,scheduled_trials,successful_trials,status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,entropy_saved_bytes_median,entropy_penalty_bytes_median,procedural_gain_bytes_median,procedural_penalty_bytes_median,container_overhead_bytes_median,function_graph_bytes_median,coordinate_bytes_median,shared_definition_bytes_median,reference_bytes_median,parameter_bytes_median,residual_layer_bytes_median,literal_leaf_bytes_median,entropy_metadata_bytes_median,index_bytes_median,node_count_median,shared_node_count_median,residual_depth_sum_median,residual_root_count_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,coordinate_saved_bytes_median,dag_saved_bytes_median,recursive_residual_saved_bytes_median,symbolic_saved_bytes_median,search_ns_median,archive_bytes_median,procedural_coverage,literal_fraction,procedural_gain_before_entropy_bytes,procedural_gain_bytes,entropy_coder_gain_bytes,entropy_coder_penalty_bytes,procedural_penalty_bytes,average_residual_depth,search_time_per_saved_byte_ns,time_per_saved_byte_basis
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-lib-rs,file,4351,10,10,complete,4835,4835,1782,0,1782,0,472,6,0,0,0,0,0,2564,11,,2,0,0,0,0,4351,,,,,,3053,0,1,0,1782,1782,0,0,,18523.75420875421,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-macros-rs,file,8276,10,10,complete,8760,8760,5820,0,5820,0,472,6,0,0,0,0,0,2451,11,,2,0,0,0,0,8276,,,,,,2940,0,1,0,5820,5820,0,0,,5817.7051546391749,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-private-content-rs,file,750,10,10,complete,1234,1234,201,0,201,0,472,6,0,0,0,0,0,544,11,,2,0,0,0,0,750,,,,,,1033,0,1,0,201,201,0,0,,84303.116915422885,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-private-doc-rs,file,5146,10,10,complete,5630,5630,3605,0,3605,0,472,6,0,0,0,0,0,1536,11,,2,0,0,0,0,5146,,,,,,2025,0,1,0,3605,3605,0,0,,4895.8271844660194,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-private-mod-rs,file,504,10,10,complete,988,988,192,0,192,0,472,6,0,0,0,0,0,307,11,,2,0,0,0,0,504,,,,,,796,0,1,0,192,192,0,0,,88977.4609375,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-private-seed-rs,file,635,10,10,complete,1119,1119,168,0,168,0,472,6,0,0,0,0,0,462,11,,2,0,0,0,0,635,,,,,,951,0,1,0,168,168,0,0,,101796.89880952382,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-private-size-hint-rs,file,692,10,10,complete,1176,1176,225,0,225,0,472,6,0,0,0,0,0,462,11,,2,0,0,0,0,692,,,,,,951,0,1,0,225,225,0,0,,77713.684444444443,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-private-string-rs,file,794,10,10,complete,1278,1278,200,0,200,0,472,6,0,0,0,0,0,589,11,,2,0,0,0,0,794,,,,,,1078,0,1,0,200,200,0,0,,84961.742499999993,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-ser-fmt-rs,file,4166,10,10,complete,4650,4650,2769,0,2769,0,472,6,0,0,0,0,0,1392,11,,2,0,0,0,0,4166,,,,,,1881,0,1,0,2769,2769,0,0,,6679.8264716504154,compression_wall_ns
validation-v4-final-binary,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,8f1ca1238a4c2d6495b7cff729ce6ecb34da3f844a557ea7b90b0d9d52a10787,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-ser-impls-rs,file,29535,10,10,complete,30023,30023,23307,0,23307,0,472,7,0,0,0,0,0,6225,12,,2,0,0,0,0,29535,,,,,,6716,0,1,0,23307,23307,0,0,,1466.9460033466341,compression_wall_ns
