evidence_scope,experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,native_mathsvg,dataset_id,row_scope,original_bytes,scheduled_measured_trials,successful_trials,failed_trials,timeout_trials,unavailable_trials,complete_repetitions,metric_status,roundtrip_all_successes,deterministic_archive_all_successes,archive_bytes_median,archive_fraction_median,compression_ratio_median,compression_wall_ns_median,compression_cpu_ns_median,compression_cpu_wall_fraction_median,decompression_wall_ns_median,decompression_cpu_ns_median,decompression_cpu_wall_fraction_median,compression_throughput_mb_s_median,decompression_throughput_mb_s_median,peak_rss_bytes_median,compression_peak_rss_bytes_median,decompression_peak_rss_bytes_median,procedural_evidence_status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,procedural_gain_before_entropy_bytes_median,procedural_penalty_before_entropy_bytes_median,entropy_gain_bytes_median,entropy_penalty_bytes_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,procedural_coverage_median,literal_fraction_median
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,__aggregate__,corpus,10114825,100,100,0,0,0,10,complete,true,true,4606124,0.45538345942712799,2.1959515201935509,7900118032.5,7685000000,0.96753351918184305,634264270.5,480000000,0.74401920049763315,1.2803832429051933,15.947381224051711,145788928,145788928,10264576,not-applicable,,,,,,,,,,
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-canterbury-alice29-txt,file,152089,10,10,0,0,0,10,complete,true,true,72196,0.47469573736430642,2.1066125547121723,165755032.5,140000000,0.84466216637602154,33147234.5,10000000,0.30168429391415225,0.91755311750834367,4.5882862577109496,6103040,6103040,3557376,exact,152577,152577,0,0,80381,0,0,152089,0,1
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-canterbury-kennedy-xls,file,1029744,10,10,0,0,0,10,complete,true,true,243126,0.2361033421899035,4.235433478936848,667722613,625000000,0.93452336004654246,115603945.5,50000000,0.51692713821858682,1.5421734277777737,8.9075167803983568,20602880,20602880,4780032,exact,1030232,1030232,0,0,787106,0,0,1029744,0,1
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-silesia-x-ray,file,8474240,10,10,0,0,0,10,complete,true,true,6800480,0.80248848274299522,1.2461238030256687,7820423859.5,7780000000,0.99438531084056125,994124936.5,955000000,0.96173404324183931,1.0836103414219065,8.5291070008677821,26505216,26505216,7313408,exact,8476584,8476584,0,0,1676104,0,0,8474240,0,1
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-constant-00,file,65536,10,10,0,0,0,10,complete,true,true,485,0.0074005126953125,135.12577319587629,33996733,15000000,0.30292238013623179,9173297.5,0,0,1.9288768894670745,7.1569391324151281,4474880,4474880,3184640,exact,66024,485,65539,0,0,0,65536,0,1,0
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-lfsr8,file,65536,10,10,0,0,0,10,complete,true,true,753,0.0114898681640625,87.033200531208493,33315663.5,10000000,0.30015943441656556,10251685.5,0,0,1.9671248693924039,6.3992697526191291,4499456,4499456,3207168,exact,66024,66024,0,0,65271,0,0,65536,0,1
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-linear,file,65536,10,10,0,0,0,10,complete,true,true,489,0.0074615478515625,134.02044989775052,33016305.5,20000000,0.43016997147579528,16845624.5,0,0,1.984958643175577,3.890391409331043,4474880,4474880,3190784,exact,66024,489,65535,0,0,0,65536,0,1,0
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-periodic,file,65536,10,10,0,0,0,10,complete,true,true,494,0.007537841796875,132.66396761133603,33482510.5,10000000,0.30145967571490789,9291167.5,0,0,1.9573605647305623,7.0610658022655493,4503552,4503552,3151872,exact,66024,494,65530,0,0,0,65536,0,1,0
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-piecewise-mixed,file,65536,10,10,0,0,0,10,complete,true,true,13203,0.2014617919921875,4.9637203665833525,33904864,10000000,0.30400652882396656,8969319,0,0,1.9330780075701464,7.3075309023330188,4534272,4534272,3192832,exact,66024,66024,0,0,52821,0,0,65536,0,1
development,development-pilot-v10-budget-accounting-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87709b813b8a43bf1daefec0720edb5cc19514800c17e2f8426e1ed06212516c,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-polynomial-d2,file,65536,10,10,0,0,0,10,complete,true,true,754,0.011505126953125,86.91777188328912,33457957,10000000,0.29888605111853156,14845570,0,0,1.9587796246104083,4.5141966475616018,4515840,4515840,3188736,exact,66024,66024,0,0,65270,0,0,65536,0,1
