evidence_scope,experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,native_mathsvg,dataset_id,row_scope,original_bytes,scheduled_measured_trials,successful_trials,failed_trials,timeout_trials,unavailable_trials,complete_repetitions,metric_status,roundtrip_all_successes,deterministic_archive_all_successes,archive_bytes_median,archive_fraction_median,compression_ratio_median,compression_wall_ns_median,compression_cpu_ns_median,compression_cpu_wall_fraction_median,decompression_wall_ns_median,decompression_cpu_ns_median,decompression_cpu_wall_fraction_median,compression_throughput_mb_s_median,decompression_throughput_mb_s_median,peak_rss_bytes_median,compression_peak_rss_bytes_median,decompression_peak_rss_bytes_median,procedural_evidence_status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,procedural_gain_before_entropy_bytes_median,procedural_penalty_before_entropy_bytes_median,entropy_gain_bytes_median,entropy_penalty_bytes_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,procedural_coverage_median,literal_fraction_median
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-canterbury-alice29-txt,file,152089,10,10,0,0,0,10,complete,true,true,48528,0.31907633030659682,3.1340463237718432,165951234.5,130000000,0.78529280464590445,17368400.5,0,0,0.91646881275395331,8.7574061000427825,30449664,30449664,2015232,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-canterbury-kennedy-xls,file,1029744,10,10,0,0,0,10,complete,true,true,51868,0.050369800649481815,19.853165728387445,2003741498.5,1970000000,0.9838073845362082,33407674,10000000,0.29106618322778588,0.51397583311807105,30.82357667987014,35307520,35307520,2932736,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-silesia-x-ray,file,8474240,10,10,0,0,0,10,complete,true,true,4491264,0.52999018201042214,1.886827405380757,6382294090,6315000000,0.99214217413511752,519022988,485000000,0.93460253965688544,1.3277819168518881,16.327298022718587,146057216,146057216,10272768,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-constant-00,file,65536,10,10,0,0,0,10,complete,true,true,140,0.00213623046875,468.1142857142857,16906783.5,0,0,8980777.5,0,0,3.8763542545327976,7.297580976620595,2793472,2793472,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-lfsr8,file,65536,10,10,0,0,0,10,complete,true,true,412,0.00628662109375,159.06796116504853,17686945.5,0,0,8928898,0,0,3.7054221782883507,7.3397702315697266,3981312,3981312,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-linear,file,65536,10,10,0,0,0,10,complete,true,true,384,0.005859375,170.66666666666666,16961186,0,0,8807176,0,0,3.8638980081119128,7.4412223403030859,3848192,3848192,1882112,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-periodic,file,65536,10,10,0,0,0,10,complete,true,true,148,0.00225830078125,442.81081081081084,17005270,0,0,8980867,0,0,3.8538642848261793,7.2975971206345278,2801664,2801664,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-piecewise-mixed,file,65536,10,10,0,0,0,10,complete,true,true,12424,0.1895751953125,5.2749517063747584,117438532,100000000,0.84796765013920772,9463754,0,0,0.55804535449707227,6.928430872346885,38453248,38453248,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-polynomial-d2,file,65536,10,10,0,0,0,10,complete,true,true,412,0.00628662109375,159.06796116504853,16994253.5,0,0,9002876,0,0,3.8563781643848745,7.2798922744205772,3977216,3977216,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-recurrence,file,65536,10,10,0,0,0,10,complete,true,true,544,0.00830078125,120.47058823529412,17152699.5,0,0,8809027.5,0,0,3.8209306856613185,7.4398991923136037,4505600,4505600,1882112,not-applicable,,,,,,,,,,
