oracle_kind,input_id,origin,sample_bytes,status,baseline,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,winner,evaluated_candidates,no_coordinate_bytes,whole_coordinate_bytes,basis_bytes,basis_incremental_winner,budget_exhausted,complete_within_declared_catalogue,source,notes
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0031,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1680,1680,0,0.000000000,whole-coordinate,3,2019,1680,1828,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0023,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1716,1716,0,0.000000000,whole-coordinate,3,1993,1716,1832,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0016,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1719,1719,0,0.000000000,whole-coordinate,3,1971,1719,1913,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0018,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1724,1724,0,0.000000000,whole-coordinate,3,1997,1724,1893,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0002,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1734,1734,0,0.000000000,whole-coordinate,3,1988,1734,1861,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0026,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1742,1742,0,0.000000000,whole-coordinate,3,1997,1742,1894,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0013,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1743,1743,0,0.000000000,whole-coordinate,3,2011,1743,1916,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0020,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1759,1759,0,0.000000000,whole-coordinate,3,2008,1759,1895,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0007,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1791,1791,0,0.000000000,whole-coordinate,3,2007,1791,1926,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0028,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1832,1832,0,0.000000000,whole-coordinate,3,1989,1832,2009,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0010,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1894,1894,0,0.000000000,whole-coordinate,3,2046,1894,2050,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0015,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",1911,1911,0,0.000000000,whole-coordinate,3,2027,1911,2116,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0001,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2169,2169,0,0.000000000,no-coordinate,3,2169,2177,2391,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,kennedy.xls:block-0000,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2264,2264,0,0.000000000,whole-coordinate,3,2737,2264,2569,false,true,false,datasets/data/canterbury/kennedy.xls,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0007,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2735,2735,0,0.000000000,no-coordinate,3,2735,2743,2851,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0008,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2747,2747,0,0.000000000,no-coordinate,3,2747,2755,3420,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0004,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2813,2813,0,0.000000000,no-coordinate,3,2813,2821,3458,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0002,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2866,2866,0,0.000000000,no-coordinate,3,2866,2874,2983,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0011,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2898,2898,0,0.000000000,no-coordinate,3,2898,2906,3006,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0004,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2898,2898,0,0.000000000,no-coordinate,3,2898,2906,3016,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0013,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2901,2901,0,0.000000000,no-coordinate,3,2901,2909,3011,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0024,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2903,2903,0,0.000000000,no-coordinate,3,2903,2911,3011,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
