algorithm,status,evaluation_rows,real_rows,complete_rows,winning_rows,real_winning_rows,qualifying_real_rows,minimum_gain_fraction,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,decision,holdout_status,reason
coordinate-basis,development_only,73,73,0,0,0,0,0.005000000,176022,176022,0,0.000000000,stop_emission_zero_incremental_real_wins,not_opened_not_evaluated,incremental basis must beat active coordinate/no-coordinate; 73 bounded-incomplete row(s). A zero incomplete row is not a global no-headroom proof.
dag-sharing,development_only,13,4,13,0,0,0,0.005000000,19766,19766,0,0.000000000,stop_emission_retention_gate_failed,not_opened_not_evaluated,native graph versus current function/entropy winner; 0 bounded-incomplete row(s). A zero incomplete row is not a global no-headroom proof.
recursive-residual-depth2,development_only,13,4,0,1,1,1,0.005000000,19766,19651,115,0.581807144,retain_experimental_for_validation,not_opened_not_evaluated,depth two versus current function/entropy winner; 13 bounded-incomplete row(s). A zero incomplete row is not a global no-headroom proof.
segmentation-256b,development_only,13,4,0,1,0,0,0.005000000,19766,19705,61,0.308610746,retain_core_no_deeper_search_bounded_inconclusive,not_opened_not_evaluated,bounded production DP versus identical unsplit catalogue; 13 bounded-incomplete row(s). A zero incomplete row is not a global no-headroom proof.
symbolic-depth2,development_only,13,4,0,0,0,0,0.005000000,19766,19766,0,0.000000000,profile_disabled_bounded_inconclusive,not_opened_not_evaluated,RSEE versus current function/entropy winner; 13 bounded-incomplete row(s). A zero incomplete row is not a global no-headroom proof.
